2   10
3   10
4   10
7   10
8   10
27  10
82  10
139 10
1   9
8   9
26  9
49  9
62  9
82  9
128 9
140 9
1   8
8   8
26  8
49  8
82  8
140 8
0   7
1   7
2   7
3   7
8   7
13  7
14  7
15  7
19  7
20  7
21  7
26  7
31  7
32  7
33  7
34  7
37  7
38  7
39  7
42  7
43  7
44  7
45  7
49  7
50  7
51  7
54  7
56  7
57  7
61  7
62  7
66  7
70  7
73  7
74  7
75  7
79  7
80  7
81  7
82  7
91  7
92  7
93  7
94  7
97  7
98  7
99  7
100 7
103 7
104 7
105 7
108 7
109 7
110 7
111 7
115 7
116 7
117 7
120 7
122 7
123 7
127 7
128 7
133 7
134 7
135 7
140 7
1   6
8   6
16  6
18  6
22  6
25  6
30  6
36  6
40  6
42  6
46  6
49  6
54  6
55  6
58  6
62  6
66  6
70  6
72  6
76  6
78  6
82  6
90  6
96  6
102 6
106 6
108 6
112 6
118 6
120 6
121 6
124 6
128 6
132 6
136 6
141 6
1   5
8   5
13  5
14  5
15  5
16  5
18  5
22  5
26  5
30  5
36  5
40  5
42  5
46  5
49  5
54  5
62  5
67  5
69  5
72  5
73  5
74  5
75  5
76  5
78  5
82  5
91  5
92  5
93  5
96  5
102 5
103 5
104 5
105 5
106 5
108 5
112 5
115 5
116 5
117 5
118 5
120 5
128 5
132 5
136 5
140 5
1   4
8   4
12  4
16  4
18  4
22  4
26  4
30  4
36  4
40  4
42  4
46  4
49  4
54  4
62  4
67  4
69  4
72  4
78  4
82  4
94  4
96  4
102 4
108 4
112 4
114 4
118 4
120 4
128 4
132 4
136 4
140 4
1   3
8   3
13  3
14  3
15  3
16  3
19  3
20  3
21  3
22  3
26  3
31  3
32  3
33  3
34  3
37  3
38  3
39  3
42  3
46  3
50  3
51  3
52  3
54  3
62  3
68  3
73  3
74  3
75  3
76  3
79  3
80  3
81  3
82  3
90  3
91  3
92  3
93  3
97  3
98  3
99  3
100 3
103 3
104 3
105 3
106 3
108 3
112 3
115 3
116 3
117 3
118 3
120 3
128 3
133 3
134 3
135 3
140 3
22  2
27  2
84  2
85  2
86  2
87  2
88  2
89  2
139 2
19  1
20  1
21  1
